Jour,Heure,Donnée,Valeur
2014-12-09,20:56:31,interieur,22.9
2014-12-09,20:56:33,interieur,22.9
2014-12-09,20:56:35,interieur,22.9
2014-12-09,20:56:37,interieur,22.9
2014-12-09,20:56:39,interieur,22.9
2014-12-09,20:56:41,interieur,22.9
2014-12-09,20:56:43,interieur,23
2014-12-09,20:56:45,interieur,23
2014-12-09,20:56:47,interieur,23
2014-12-09,20:56:50,interieur,23
2014-12-09,20:56:51,interieur,23
2014-12-09,20:56:53,interieur,23
2014-12-09,20:56:55,interieur,23.1
2014-12-09,20:56:57,interieur,23.1
2014-12-09,20:57:00,interieur,23.1
2014-12-09,20:57:02,interieur,23.1
2014-12-09,20:57:04,interieur,23.1
2014-12-09,20:57:06,interieur,23.1
2014-12-09,20:57:08,interieur,23.1
2014-12-09,20:57:10,interieur,23.2
2014-12-09,20:57:12,interieur,23.2
2014-12-09,20:57:14,interieur,23.2
2014-12-09,20:57:16,interieur,23.2
2014-12-09,20:57:18,interieur,23.2
2014-12-09,20:57:20,interieur,23.2
2014-12-09,20:57:22,interieur,23.2
2014-12-09,20:57:24,interieur,23.2
2014-12-09,20:57:26,interieur,23.2
2014-12-09,20:57:28,interieur,23.3
2014-12-09,20:57:30,interieur,23.3
2014-12-09,20:57:32,interieur,23.3
2014-12-09,20:57:34,interieur,23.3
2014-12-09,20:57:36,interieur,23.3
2014-12-09,20:57:38,interieur,23.3
2014-12-09,20:57:40,interieur,23.3
2014-12-09,20:57:42,interieur,23.3
2014-12-09,20:57:44,interieur,23.4
2014-12-09,20:57:46,interieur,23.4
2014-12-09,20:57:48,interieur,23.4
2014-12-09,20:57:50,interieur,23.4
2014-12-09,20:57:52,interieur,23.4
2014-12-09,20:57:54,interieur,23.4
2014-12-09,20:57:56,interieur,23.4
2014-12-09,20:57:58,interieur,23.4
2014-12-09,20:58:00,interieur,23.4
2014-12-09,20:58:02,interieur,23.5
2014-12-09,20:58:04,interieur,23.5
2014-12-09,20:58:06,interieur,23.5
2014-12-09,20:58:08,interieur,23.5
2014-12-09,20:58:10,interieur,23.5
2014-12-09,20:58:12,interieur,23.5
2014-12-09,20:58:14,interieur,23.5
2014-12-09,20:58:16,interieur,23.5
2014-12-09,20:58:18,interieur,23.5
2014-12-09,20:58:20,interieur,23.5
2014-12-09,20:58:22,interieur,23.5
2014-12-09,20:58:24,interieur,23.6
2014-12-09,20:58:26,interieur,23.6
2014-12-09,20:58:28,interieur,23.6
2014-12-09,20:58:31,interieur,23.6
2014-12-09,20:58:33,interieur,23.6
2014-12-09,20:58:35,interieur,23.6
2014-12-09,20:58:37,interieur,23.6
2014-12-09,20:58:39,interieur,23.6
2014-12-09,20:58:41,interieur,23.6
2014-12-09,20:58:43,interieur,23.6
2014-12-09,20:58:45,interieur,23.7
2014-12-09,20:58:47,interieur,23.6
2014-12-09,20:58:49,interieur,23.7
2014-12-09,20:58:51,interieur,23.7
2014-12-09,20:58:53,interieur,23.7
2014-12-09,20:58:55,interieur,23.7
2014-12-09,20:58:57,interieur,23.7
2014-12-09,20:58:59,interieur,23.7
2014-12-09,20:59:01,interieur,23.7
2014-12-09,20:59:03,interieur,23.7
2014-12-09,20:59:05,interieur,23.7
2014-12-09,20:59:07,interieur,23.7
2014-12-09,20:59:09,interieur,23.7
2014-12-09,20:59:11,interieur,23.7
2014-12-09,20:59:13,interieur,23.7
2014-12-09,20:59:15,interieur,23.7
2014-12-09,20:59:17,interieur,23.8
2014-12-09,20:59:19,interieur,23.7
2014-12-09,20:59:21,interieur,23.8
2014-12-09,20:59:23,interieur,23.8
2014-12-09,20:59:25,interieur,23.8
2014-12-09,20:59:27,interieur,23.8
2014-12-09,20:59:29,interieur,23.8
2014-12-09,20:59:31,interieur,23.8
2014-12-09,20:59:33,interieur,23.8
2014-12-09,20:59:35,interieur,23.8
2014-12-09,20:59:37,interieur,23.8
2014-12-09,20:59:39,interieur,23.8
2014-12-09,20:59:41,interieur,23.8
2014-12-09,20:59:43,interieur,23.8
2014-12-09,20:59:45,interieur,23.8
2014-12-09,20:59:47,interieur,23.9
2014-12-09,20:59:49,interieur,23.9
2014-12-09,20:59:51,interieur,23.9
2014-12-09,20:59:53,interieur,23.9
2014-12-09,20:59:55,interieur,23.9
2014-12-09,20:59:57,interieur,23.9
2014-12-09,20:59:59,interieur,23.9
2014-12-09,21:00:02,interieur,23.9
2014-12-09,21:00:04,interieur,23.9
2014-12-09,21:00:06,interieur,23.9
2014-12-09,21:00:08,interieur,23.9
2014-12-09,21:00:10,interieur,23.9
2014-12-09,21:00:12,interieur,23.9
2014-12-09,21:00:14,interieur,23.9
2014-12-09,21:00:16,interieur,23.9
2014-12-09,21:00:18,interieur,23.9
2014-12-09,21:00:20,interieur,23.9
2014-12-09,21:00:22,interieur,23.9
2014-12-09,21:00:24,interieur,23.9
2014-12-09,21:00:26,interieur,23.9
2014-12-09,21:00:28,interieur,23.9
2014-12-09,21:00:30,interieur,23.9
2014-12-09,21:00:32,interieur,23.9
2014-12-09,21:00:34,interieur,23.9
2014-12-09,21:00:36,interieur,23.9
2014-12-09,21:00:38,interieur,23.9
2014-12-09,21:00:40,interieur,24
2014-12-09,21:00:42,interieur,24
2014-12-09,21:00:44,interieur,24
2014-12-09,21:00:46,interieur,24
2014-12-09,21:00:48,interieur,24
2014-12-09,21:00:50,interieur,24
2014-12-09,21:00:52,interieur,24
2014-12-09,21:00:54,interieur,24
2014-12-09,21:00:56,interieur,24
2014-12-09,21:00:58,interieur,24
2014-12-09,21:01:00,interieur,24
2014-12-09,21:01:02,interieur,24
2014-12-09,21:01:04,interieur,24
2014-12-09,21:01:06,interieur,24
2014-12-09,21:01:08,interieur,24
2014-12-09,21:01:10,interieur,24
2014-12-09,21:01:12,interieur,24
2014-12-09,21:01:14,interieur,24
2014-12-09,21:01:16,interieur,24
